Date,Close
01-01-2018,2654.649902
01-02-2018,2633.75
01-03-2018,2635.199951
01-04-2018,2649.800049
01-05-2018,2684.449951
01-08-2018,2707.75
01-09-2018,2708.449951
01-10-2018,2807.100098
01-11-2018,2788.399902
01-12-2018,2772.899902
1/15/2018,2747.199951
1/16/2018,2850.850098
1/17/2018,2889.449951
1/18/2018,2910.100098
1/19/2018,2954.75
1/22/2018,3113.149902
1/23/2018,3103.100098
1/24/2018,3174.600098
1/25/2018,3117.850098
1/29/2018,3195.100098
1/30/2018,3153.699951
1/31/2018,3111.75
02-01-2018,3138.899902
02-02-2018,3149.149902
02-05-2018,3106.5
02-06-2018,2995.350098
02-07-2018,2955.350098
02-08-2018,2966.25
02-09-2018,2972.300049
02-12-2018,2967.899902
2/14/2018,2910.449951
2/15/2018,2925.75
2/16/2018,2937.199951
2/19/2018,2924.550049
2/20/2018,2945.050049
2/21/2018,3043.050049
2/22/2018,3040.399902
2/23/2018,3076.899902
2/26/2018,3035.25
2/27/2018,3043.25
2/28/2018,3038.25
03-01-2018,3037.100098
03-05-2018,3104.300049
03-06-2018,3049.800049
03-07-2018,3029.25
03-08-2018,3001.5
03-09-2018,3034.5
03-12-2018,3051.850098
3/13/2018,2892.449951
3/14/2018,2886.100098
3/15/2018,2869.149902
3/16/2018,2825.5
3/19/2018,2828.850098
3/20/2018,2859.149902
3/21/2018,2854.600098
3/22/2018,2829.949951
3/23/2018,2816.449951
3/26/2018,2813.050049
3/27/2018,2841.850098
3/28/2018,2849.300049
04-02-2018,2902.899902
04-03-2018,2908.100098
04-04-2018,2907.050049
04-05-2018,2957.149902
04-06-2018,2949.699951
04-09-2018,2921.149902
04-10-2018,2931.850098
04-11-2018,3015.5
04-12-2018,3137.300049
4/13/2018,3151
4/16/2018,3184.800049
4/17/2018,3165.899902
4/18/2018,3159.5
4/19/2018,3190.649902
4/20/2018,3406.399902
4/23/2018,3415.199951
4/24/2018,3385.649902
4/25/2018,3467.899902
4/26/2018,3540.350098
4/27/2018,3454.800049
4/30/2018,3531.399902
05-02-2018,3497.800049
05-03-2018,3482.649902
05-04-2018,3480.850098
05-07-2018,3427.699951
